caso,premissa,premissa_label,esperado,inferido,acerto,evidencia
1,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
1,compensatoriedade,Compensatoriedade,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio
1,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
1,monotonicidade,Monotonicidade,Monotonico,Monotonico,1,monotonico(1) | regra_semantica_monotonico
1,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
1,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
1,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
1,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
1,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
1,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
2,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
2,compensatoriedade,Compensatoriedade,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio
2,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
2,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
2,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
2,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
2,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
2,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
2,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
2,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
3,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
3,compensatoriedade,Compensatoriedade,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto
3,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
3,monotonicidade,Monotonicidade,Monotonico,NaoMonotonico,0,regra_semantica_nao_monotonico
3,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
3,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
3,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
3,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
3,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
3,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
4,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
4,compensatoriedade,Compensatoriedade,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto
4,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
4,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
4,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
4,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
4,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
4,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
4,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
4,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
5,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
5,compensatoriedade,Compensatoriedade,NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio
5,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
5,monotonicidade,Monotonicidade,Monotonico,Monotonico,1,regra_semantica_monotonico
5,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
5,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
5,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
5,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
5,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
5,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
6,tipo_problema,Tipo de problema,Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1)
6,compensatoriedade,Compensatoriedade,NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio
6,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
6,monotonicidade,Monotonicidade,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico
6,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
6,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
6,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
6,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
6,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
6,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
7,tipo_problema,Tipo de problema,Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao
7,compensatoriedade,Compensatoriedade,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio
7,tipo_variavel,Tipo de variável,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista
7,monotonicidade,Monotonicidade,Monotonico,Monotonico,1,monotonico(1) | regra_semantica_monotonico
7,estrutura_decisoria,Estrutura decisória,Grupo,Grupo,1,grupo(1) | grupo de decisores(1)
7,completude_pref,Completude das preferências,Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo
7,ambiente_decisao,Ambiente de decisão,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza
7,ponderabilidade,Ponderabilidade,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel
7,usa_pesos,Usa pesos,Sim,Sim,1,regra_semantica_pesos
7,requer_pesos,Requer pesos,Sim,Sim,1,regra_semantica_pesos
8,tipo_problema,Tipo de problema,Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao
8,compensatoriedade,Compensatoriedade,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio
